------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
------------------------------


------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N
   88. CH2.Z(S)              G      0           14.027000    300.00   4000.00       1       2       0
   89. CH2CHCH.Z(S)          G      0           40.064999    300.00   4000.00       3       4       0
   90. CH2CH2CH2.Z(S)        G      0           42.080999    300.00   4000.00       3       6       0
   91. CH2BZ(S)              G      0           14.027000    300.00   4000.00       1       2       0
   92. CH2CH2Z(S)            G      0           28.053999    300.00   4000.00       2       4       0
   93. CHCHZ(S)              G      0           26.037999    300.00   4000.00       2       2       0
   94. CH.BZ(S)              G      0           13.019000    300.00   4000.00       1       1       0
   95. CHCH3BZ(S)            G      0           28.053999    300.00   4000.00       2       4       0
   96. C.CH3BZ(S)            G      0           27.045999    300.00   4000.00       2       3       0
   97. CCH2BZ(S)             G      0           26.037999    300.00   4000.00       2       2       0
   98. CCH.BZ(S)             G      0           25.029999    300.00   4000.00       2       1       0
   99. CCHCH3BZ(S)           G      0           40.064999    300.00   4000.00       3       4       0
  100. CCHCH2.BZ(S)          G      0           39.056999    300.00   4000.00       3       3       0
  101. CHC.Z(S)              G      0           25.029999    300.00   4000.00       2       1       0
  102. CHCCH3Z(S)            G      0           40.064999    300.00   4000.00       3       4       0
  103. CHCCH2.Z(S)           G      0           39.056999    300.00   4000.00       3       3       0
  104. CHCCH2C5Z(S)          G      0           39.056999    300.00   4000.00       3       3       0
  105. CHCCH.C5Z(S)          G      0           38.048999    300.00   4000.00       3       2       0
  106. CHCCHCH3C5Z(S)        G      0           53.083999    300.00   4000.00       4       5       0
  107. CHCC.CH3C5Z(S)        G      0           52.075999    300.00   4000.00       4       4       0
  108. CHCCHCH.Z(S)          G      0           51.067999    300.00   4000.00       4       3       0
  109. CHCCH2CH2.Z(S)        G      0           53.083999    300.00   4000.00       4       5       0
  110. CHC.CH3Z(S)           G      0           40.064999    300.00   4000.00       3       4       0
  111. CHCHCH.BZ(S)          G      0           39.056999    300.00   4000.00       3       3       0
  112. CHCH2CH2.BZ(S)        G      0           41.072999    300.00   4000.00       3       5       0
  113. CHCHCHBZ(S)           G      0           39.056999    300.00   4000.00       3       3       0
  114. CHCH2CH2BZ(S)         G      0           41.072999    300.00   4000.00       3       5       0
  115. C(B)                  G      0           12.011000    300.00   4000.00       1       0       0
------------------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N
------------------------------------------------------------------------------------------------------
   49. H(S)                  G      0            1.008000    300.00   4000.00       0       1       0
   78. HZ(S)                 G      0            1.008000    300.00   4000.00       0       1       0
   20. H                     G      0            1.008000    300.00   4000.00       0       1       0
    1. H2                    G      0            2.016000    300.00   4000.00       0       2       0
   48. N2                    G      0           28.014000    300.00   4000.00       0       0       2
  115. C(B)                  G      0           12.011000    300.00   4000.00       1       0       0
   25. CH3                   G      0           15.035000    300.00   4000.00       1       3       0
   87. CH3Z(S)               G      0           15.035000    300.00   4000.00       1       3       0
   72. CH3(S)                G      0           15.035000    300.00   4000.00       1       3       0
   73. CH2.(S)               G      0           14.027000    300.00   4000.00       1       2       0
   74. CH2C5(S)              G      0           14.027000    300.00   4000.00       1       2       0
    2. CH4                   G      0           16.043000    300.00   4000.00       1       4       0
   24. CH2S                  G      0           14.027000    300.00   4000.00       1       2       0
   91. CH2BZ(S)              G      0           14.027000    300.00   4000.00       1       2       0
