    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

   46. C6H5C2H                  3.067008e+08     4.499508e+08     1.399000e+03    -3.770077e+00     3.961900e-02    -2.372776e-05     8.101940e-09    -1.166020e-12     3.505956e+04     1.908868e+01     8.540953e-03    -1.864644e-06     2.113365e-10    -9.650750e-15     2.807120e+04
   47. C6H5C2H3                 1.470460e+08     3.012228e+08     1.000000e+03    -3.148420e+00     3.667752e-02    -1.608262e-05     3.013781e-09     0.000000e+00     1.576852e+04     1.321181e+01     1.485488e-02    -3.345999e-06     2.825761e-10     0.000000e+00     1.122551e+04
   48. N2                      -2.931729e+03     2.146986e+07     1.000000e+03     3.298677e+00     7.041200e-04    -1.321074e-06     1.410379e-09    -4.889708e-13    -1.020900e+03     2.926638e+00     7.439885e-04    -1.894920e-07     2.524260e-11    -1.350670e-15    -9.227954e+02

 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             ENTROPY COEFFICIENTS                                                                     

             S/R = A*lnT + B*T + C*T^2 + D*T^3 + E*T^4 + F  [-]                                                         

    Species                 S(298K)[J/kmol/K] S(1000K)[J/kmol/K]     LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                       1.305810e+05     1.661073e+05     1.000000e+03     3.298124e+00     8.249441e-04    -4.071507e-07    -3.158478e-11     1.033718e-13    -3.294094e+00     2.991422e+00     7.000644e-04    -2.816914e-08    -3.077193e-12     3.956880e-16    -1.355106e+00
    2. CH4                      1.860428e+05     2.474970e+05     1.000000e+03     7.787417e-01     1.747668e-02    -1.391705e-05     1.016569e-08    -3.059828e-12     1.372219e+01     1.683466e+00     1.023724e-02    -1.937564e-06     2.261862e-10    -1.125856e-14     9.623476e+00
    3. C2H2                     2.008959e+05     2.691522e+05     1.000000e+03     2.013562e+00     1.519045e-02    -8.081596e-06     3.026331e-09    -4.781865e-13     8.805378e+00     4.436773e+00     5.376039e-03    -9.564081e-07     1.095460e-10    -5.391772e-15    -2.800357e+00
