    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    4. C2H4                     2.191518e+05     3.003860e+05     1.000000e+03    -8.614879e-01     2.796162e-02    -1.694338e-05     9.283840e-09    -2.434470e-12     2.421148e+01     3.528416e+00     1.148518e-02    -2.209192e-06     2.614867e-10    -1.316712e-14     2.230392e+00
    5. C2H6                     2.289526e+05     3.315298e+05     1.000000e+03     1.462539e+00     1.549467e-02     2.890253e-06    -4.192773e-09     1.146567e-12     1.443229e+01     4.825976e+00     1.384043e-02    -2.278629e-06     2.241656e-10    -8.995403e-15    -5.239763e+00
    6. C3H2                     2.711934e+05     3.586295e+05     1.000000e+03     3.166714e+00     2.482572e-02    -2.295818e-05     1.422673e-08    -3.705380e-12     8.869446e+00     7.670996e+00     2.748749e-03    -2.185471e-07    -2.151866e-11     4.159718e-15    -1.236899e+01
    7. PC3H4                    2.478840e+05     3.539170e+05     1.000000e+03     1.461753e+00     2.460266e-02    -9.510970e-06     2.867878e-09    -4.168231e-13     1.492626e+01     2.814605e+00     1.855245e-02    -4.775134e-06     7.998379e-10    -5.937131e-14     8.606050e+00
    8. AC3H4                    2.424251e+05     3.476716e+05     1.400070e+03     2.539831e+00     1.633437e-02    -8.824750e-07    -1.549122e-09     4.322828e-13     9.935702e+00     9.776251e+00     5.302138e-03    -1.850559e-07    -1.008795e-10     1.272395e-14    -3.077059e+01
    9. C3H6                     2.573714e+05     3.812663e+05     1.000000e+03     1.493307e+00     2.092517e-02     2.243397e-06    -5.563040e-09     1.789537e-12     1.614534e+01     6.732317e+00     1.490834e-02    -2.474949e-06     2.404007e-10    -9.415510e-15    -1.331377e+01
   10. C3H8                     2.701419e+05     4.172262e+05     1.000000e+03     8.969210e-01     2.668986e-02     2.715713e-06    -7.086667e-09     2.310833e-12     1.935533e+01     7.525306e+00     1.889034e-02    -3.141962e-06     3.059791e-10    -1.203102e-14    -1.784452e+01
   11. C4H2                     2.501194e+05     3.633196e+05     1.000000e+03     4.005191e+00     1.981000e-02    -4.932938e-06    -2.211719e-09     1.519353e-12     1.845736e+00     9.031475e+00     6.047252e-03    -9.743940e-07     9.182877e-11    -3.464020e-15    -2.385113e+01
   12. C4H4                     2.785216e+05     4.086453e+05     1.000000e+03    -1.915247e+00     5.275087e-02    -3.582797e-05     1.835747e-08    -4.321555e-12     3.141998e+01     6.650803e+00     1.612943e-02    -3.596944e-06     4.993927e-10    -2.966027e-14    -9.795598e+00
   13. C4H6                     2.778077e+05     4.254184e+05     1.000000e+03     1.124438e-01     3.437118e-02    -5.555332e-06    -3.070322e-09     1.552104e-12     2.309172e+01     8.237950e+00     1.736959e-02    -3.079616e-06     3.266360e-10    -1.445189e-14    -2.034182e+01
   14. IC4H8                    2.928230e+05     4.628128e+05     1.388000e+03     9.384332e-01     3.905473e-02    -1.082186e-05     1.957557e-09    -1.536089e-13     1.914430e+01     1.122583e+01     1.817958e-02    -3.101743e-06     3.204815e-10    -1.392720e-14    -3.733067e+01
   15. NC4H8                    3.077690e+05     4.753991e+05     1.000000e+03     1.181138e+00     3.085338e-02     2.543262e-06    -8.218296e-09     2.777548e-12     2.106247e+01     2.053584e+00     3.435051e-02    -7.941598e-06     1.102989e-09    -6.340261e-14     1.554320e+01
   16. CYC5H6                   2.747791e+05     4.390630e+05     1.000000e+03    -5.136912e+00     6.069535e-02    -2.302764e-05     4.281907e-09     1.853037e-13     4.615676e+01     2.305375e-01     4.095718e-02    -1.207945e-05     2.265878e-09    -1.840936e-13     2.025512e+01
   17. C6H6                     2.692852e+05     4.495605e+05     1.000000e+03    -3.138012e+00     4.723103e-02    -1.481104e-06    -1.087606e-08     4.296728e-12     3.657573e+01     1.291091e+01     1.723296e-02    -2.512105e-06     1.964499e-10    -4.868803e-15    -5.002812e+01
   18. MCPTD                    2.969232e+05     4.986683e+05     1.399000e+03    -6.653200e+00     7.446405e-02    -2.914321e-05     7.720118e-09    -9.225428e-13     5.381628e+01     1.543528e+01     1.998017e-02    -3.401352e-06     3.511654e-10    -1.525842e-14    -6.363936e+01
   19. C10H8                    3.363365e+05     6.220231e+05     1.401000e+03    -8.836460e+00     1.093006e-01    -4.776005e-05     1.405492e-08    -1.849629e-12     6.210648e+01     2.340232e+01     2.424344e-02    -4.181410e-06     4.354004e-10    -1.902884e-14    -1.074332e+02
   20. H                        1.145950e+05     1.397600e+05     1.000000e+03     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00    -4.601176e-01     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00    -4.601176e-01
   21. C                        1.580902e+05     1.832780e+05     1.000000e+03     2.554240e+00    -3.215377e-04     3.668961e-07    -2.440783e-10     6.663036e-14     4.531308e+00     2.492669e+00     4.798893e-05    -3.621675e-08     1.247637e-11    -1.218195e-15     4.801504e+00
   22. CH                       1.829173e+05     2.192180e+05     1.000000e+03     3.200202e+00     2.072875e-03    -2.567215e-06     1.911297e-09    -4.888832e-13     3.331587e+00     2.196221e+00     2.340381e-03    -3.529101e-07     3.002527e-11    -9.637600e-16     9.178381e+00
   23. CH2                      1.954679e+05     2.419137e+05     1.000000e+03     3.762237e+00     1.159819e-03     1.244792e-07     2.933612e-10    -1.833109e-13     1.712577e+00     3.636408e+00     1.933056e-03    -8.435080e-08    -3.366330e-11     4.520638e-15     2.156562e+00
   24. CH2S                     1.886982e+05     2.342048e+05     1.000000e+03     3.971265e+00    -1.699088e-04     5.126845e-07     8.308500e-10    -4.953165e-13     5.753208e-02     3.552886e+00     2.066788e-03    -9.570580e-08    -3.682243e-11     5.053372e-15     1.686585e+00
   25. CH3                      1.940320e+05     2.514422e+05     1.000000e+03     2.430442e+00     1.112410e-02    -8.401100e-06     5.406097e-09    -1.466238e-12     6.789794e+00     2.844057e+00     6.137974e-03    -1.115172e-06     1.261720e-10    -6.130398e-15     5.452657e+00
   26. C2H                      2.133144e+05     2.697925e+05     1.000000e+03     2.889657e+00     1.340996e-02    -1.423847e-05     9.826368e-09    -2.733288e-12     6.222964e+00     3.167806e+00     4.752219e-03    -9.189354e-07     1.013967e-10    -4.430819e-15     6.635898e+00
   27. C2H3                     2.315022e+05     3.012658e+05     1.000000e+03     2.459276e+00     7.371476e-03     1.054936e-06    -4.405473e-10    -2.961960e-13     1.155620e+01     5.933467e+00     4.017745e-03    -1.983369e-07    -4.804223e-11     5.946608e-15    -8.530305e+00
   28. C2H5                     2.516157e+05     3.407541e+05     1.000000e+03     2.690701e+00     8.719133e-03     2.209919e-06     3.112901e-10    -9.819433e-13     1.213820e+01     7.190478e+00     6.484077e-03    -3.214032e-07    -7.826264e-11     9.702192e-15    -1.478088e+01
   29. C3H3                     2.572528e+05     3.600765e+05     1.000000e+03     4.754199e+00     1.108028e-02     1.396662e-07    -1.826404e-09     4.874072e-13     5.854547e-01     8.831048e+00     4.357194e-03    -2.054533e-07    -7.895743e-11     1.094130e-14    -2.177919e+01
   30. CH2CHCH2                 2.708741e+05     3.936610e+05     1.000000e+03     2.276486e+00     1.985564e-02     5.619210e-07    -3.381920e-09     8.603355e-13     1.372515e+01     8.468715e+00     1.105762e-02    -1.649087e-06     1.077953e-10     0.000000e+00    -2.066961e+01
   31. CH2CCH3                  2.876174e+05     4.045096e+05     1.000000e+03     3.161863e+00     1.518100e-02     1.361330e-06    -1.725704e-09     1.358822e-14     1.197973e+01     9.209766e+00     7.871412e-03    -3.862261e-07    -1.499119e-10     2.094318e-14    -2.232371e+01
   32. CHCHCH3                  2.876174e+05     4.045096e+05     1.000000e+03     3.161863e+00     1.518100e-02     1.361330e-06    -1.725704e-09     1.358822e-14     1.197973e+01     9.209766e+00     7.871412e-03    -3.862261e-07    -1.499119e-10     2.094318e-14    -2.232371e+01
   33. NC3H7                    2.891169e+05     4.296003e+05     1.000000e+03     1.922536e+00     2.478927e-02     9.051245e-07    -5.944216e-09     2.145749e-12     1.649271e+01     7.227153e+00     1.726487e-02    -2.944402e-06     2.230612e-10     0.000000e+00    -1.279789e+01
   34. IC3H7                    2.788984e+05     4.196026e+05     1.000000e+03     1.713299e+00     2.542616e-02     7.904040e-07    -6.070954e-09     2.206928e-12     1.627901e+01     7.363411e+00     1.713315e-02    -2.910140e-06     2.196114e-10     0.000000e+00    -1.484067e+01
   35. C4H3                     2.889606e+05     4.120927e+05     1.000000e+03     4.153881e+00     1.726287e-02    -1.194687e-07    -3.395667e-09     1.085126e-12     6.036506e+00     1.075274e+01     5.381153e-03    -2.774819e-07    -1.017422e-10     1.440435e-14    -2.973025e+01
   36. C4H5                     3.057314e+05     4.525495e+05     1.000000e+03     2.995240e+00     2.288456e-02     9.877354e-07    -3.827483e-09     7.994558e-13     1.289454e+01     1.286597e+01     7.943369e-03    -4.313233e-07    -1.551878e-10     2.237783e-14    -4.182504e+01
   37. SC4H7                    3.042203e+05     4.658081e+05     1.000000e+03    -4.425982e-01     4.221601e-02    -1.273490e-05     1.991440e-09     0.000000e+00     2.760865e+01     7.148790e+00     2.196639e-02    -3.872356e-06     3.024925e-10     0.000000e+00    -1.175477e+01
   38. IC4H7                    3.068271e+05     4.764249e+05     1.000000e+03     4.769520e+00     1.677249e-02     1.065055e-05    -9.195814e-09     2.113753e-12     4.013093e+00     6.165433e+00     2.578428e-02    -4.682606e-06     3.753950e-10     0.000000e+00    -6.765615e+00
   39. CH2C3H5                  3.134298e+05     4.737386e+05     1.000000e+03     2.830482e-01     3.867770e-02    -1.053699e-05     1.425276e-09     0.000000e+00     2.545644e+01     6.649453e+00     2.262321e-02    -4.032103e-06     3.180497e-10     0.000000e+00    -7.864291e+00
   40. CYC5H5                   2.655072e+05     4.204494e+05     1.000000e+03    -7.378440e+00     9.723918e-02    -8.478957e-05     5.060622e-08    -1.280189e-11     5.128295e+01     4.214649e+00     2.718347e-02    -6.658660e-06     1.029934e-09    -6.946997e-14    -3.059998e-02
   41. C6H5                     2.921403e+05     4.675735e+05     1.000000e+03     1.143557e-01     3.627324e-02     5.791430e-07    -7.323213e-09     2.115889e-12     2.380117e+01     1.577589e+01     9.651109e-03    -4.714708e-07    -1.823037e-10     2.566305e-14    -6.176281e+01
   42. C7H7                     3.068239e+05     5.263085e+05     1.000000e+03    -2.962284e+00     6.591710e-02    -2.166672e-05     3.546950e-09     0.000000e+00     3.596577e+01     1.268904e+01     2.487540e-02    -4.102012e-06     3.006016e-10     0.000000e+00    -4.542642e+01
   43. C7H8                     3.202535e+05     5.406971e+05     1.000000e+03    -4.695182e+00     6.951080e-02    -2.192225e-05     3.468216e-09     0.000000e+00     4.640732e+01     9.889287e+00     3.123517e-02    -5.523321e-06     4.326503e-10     0.000000e+00    -2.942635e+01
   44. INDENYL                  3.228518e+05     5.759054e+05     1.389000e+03    -6.278088e+00     8.816108e-02    -3.491405e-05     9.333647e-09    -1.135129e-12     5.118746e+01     2.106199e+01     2.190460e-02    -3.863500e-06     4.082726e-10    -1.802531e-14    -9.477055e+01
   45. INDENE                   3.368577e+05     5.981442e+05     1.000000e+03    -5.656509e+00     8.359930e-02    -2.709329e-05     4.390439e-09     0.000000e+00     5.011755e+01     1.299421e+01     3.450360e-02    -5.973667e-06     4.590173e-10     0.000000e+00    -4.680955e+01
   46. C6H5C2H                  3.307610e+05     5.610759e+05     1.399000e+03    -3.770077e+00     7.923800e-02    -3.559164e-05     1.080259e-08    -1.457525e-12     4.053327e+01     1.908868e+01     1.708191e-02    -2.796966e-06     2.817820e-10    -1.206344e-14    -7.900356e+01
   47. C6H5C2H3                 3.443927e+05     5.906170e+05     1.000000e+03    -3.148420e+00     7.335504e-02    -2.412393e-05     4.018375e-09     0.000000e+00     3.953393e+01     1.321181e+01     2.970977e-02    -5.018999e-06     3.767681e-10     0.000000e+00    -4.529658e+01
   48. N2                       1.914976e+05     2.280885e+05     1.000000e+03     3.298677e+00     1.408240e-03    -1.981611e-06     1.880505e-09    -6.112135e-13     3.950372e+00     2.926638e+00     1.487977e-03    -2.842380e-07     3.365680e-11    -1.688338e-15     5.980540e+00

 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


