Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN8AJliq           2.500000e+03        1.562000e+03        0.000000e+00        6.248000e-01        3.160200e+04        1.212500e+03        5.247322e-23        4.327688e-26        4.355979e-09        4.355979e-09        4.355979e-09        3.000000            0.0                 8                   
BIN8BJliq           2.500000e+03        4.990000e+02        0.000000e+00        1.996000e-01        3.053049e+04        1.212500e+03        5.069405e-23        4.180953e-26        4.306180e-09        4.306180e-09        4.306180e-09        3.000000            0.0                 8                   
BIN8CJliq           2.500000e+03        1.250000e+02        0.000000e+00        5.000000e-02        3.015350e+04        1.212500e+03        5.006808e-23        4.129326e-26        4.288383e-09        4.288383e-09        4.288383e-09        3.000000            0.0                 8                   
BIN9AJ              5.000000e+03        2.999000e+03        0.000000e+00        5.998000e-01        6.307799e+04        1.250000e+03        1.047372e-22        8.378978e-26        5.429137e-09        5.429137e-09        5.429137e-09        3.000000            1.0                 9                   
BIN9AJliq           5.000000e+03        2.999000e+03        0.000000e+00        5.998000e-01        6.307799e+04        1.250000e+03        1.047372e-22        8.378978e-26        5.429137e-09        5.429137e-09        5.429137e-09        3.000000            0.0                 9                   
BIN9BJ              5.000000e+03        9.990000e+02        0.000000e+00        1.998000e-01        6.106199e+04        1.250000e+03        1.013898e-22        8.111182e-26        5.370670e-09        5.370670e-09        5.370670e-09        3.000000            1.0                 9                   
BIN9BJliq           5.000000e+03        9.990000e+02        0.000000e+00        1.998000e-01        6.106199e+04        1.250000e+03        1.013898e-22        8.111182e-26        5.370670e-09        5.370670e-09        5.370670e-09        3.000000            0.0                 9                   
BIN9CJ              5.000000e+03        2.500000e+02        0.000000e+00        5.000000e-02        6.030700e+04        1.250000e+03        1.001362e-22        8.010892e-26        5.348444e-09        5.348444e-09        5.348444e-09        3.000000            1.0                 9                   
BIN9CJliq           5.000000e+03        2.500000e+02        0.000000e+00        5.000000e-02        6.030700e+04        1.250000e+03        1.001362e-22        8.010892e-26        5.348444e-09        5.348444e-09        5.348444e-09        3.000000            0.0                 9                   
BIN10AJ             1.000000e+04        5.749000e+03        0.000000e+00        5.749000e-01        1.259050e+05        1.287500e+03        2.090577e-22        1.623749e-25        6.768723e-09        6.768723e-09        6.768723e-09        3.000000            1.0                 10                  
BIN10AJliq          1.000000e+04        5.749000e+03        0.000000e+00        5.749000e-01        1.259050e+05        1.287500e+03        2.090577e-22        1.623749e-25        6.768723e-09        6.768723e-09        6.768723e-09        3.000000            0.0                 10                  
BIN10AJaggI         1.000000e+04        5.749000e+03        0.000000e+00        5.749000e-01        1.259050e+05        1.287500e+03        2.090577e-22        1.623749e-25        6.768723e-09        7.082034e-09        5.429137e-09        1.800000            2.0                 10                  
BIN10BJ             1.000000e+04        1.999000e+03        0.000000e+00        1.999000e-01        1.221250e+05        1.287500e+03        2.027812e-22        1.575000e-25        6.700296e-09        6.700296e-09        6.700296e-09        3.000000            1.0                 10                  
BIN10BJliq          1.000000e+04        1.999000e+03        0.000000e+00        1.999000e-01        1.221250e+05        1.287500e+03        2.027812e-22        1.575000e-25        6.700296e-09        6.700296e-09        6.700296e-09        3.000000            0.0                 10                  
BIN10BJaggI         1.000000e+04        1.999000e+03        0.000000e+00        1.999000e-01        1.221250e+05        1.287500e+03        2.027812e-22        1.575000e-25        6.700296e-09        6.963112e-09        5.429137e-09        1.800000            1.9                 10                  
BIN10CJ             1.000000e+04        5.000000e+02        0.000000e+00        5.000000e-02        1.206140e+05        1.287500e+03        2.002723e-22        1.555513e-25        6.672548e-09        6.672548e-09        6.672548e-09        3.000000            1.0                 10                  
BIN10CJliq          1.000000e+04        5.000000e+02        0.000000e+00        5.000000e-02        1.206140e+05        1.287500e+03        2.002723e-22        1.555513e-25        6.672548e-09        6.672548e-09        6.672548e-09        3.000000            0.0                 10                  
BIN10CJaggI         1.000000e+04        5.000000e+02        0.000000e+00        5.000000e-02        1.206140e+05        1.287500e+03        2.002723e-22        1.555513e-25        6.672548e-09        6.915117e-09        5.429137e-09        1.800000            1.9                 10                  
BIN11AJ             2.000000e+04        1.099900e+04        0.000000e+00        5.499500e-01        2.513070e+05        1.325000e+03        4.172802e-22        3.149284e-25        8.441204e-09        8.441204e-09        8.441204e-09        3.000000            1.0                 11                  
BIN11AJliq          2.000000e+04        1.099900e+04        0.000000e+00        5.499500e-01        2.513070e+05        1.325000e+03        4.172802e-22        3.149284e-25        8.441204e-09        8.441204e-09        8.441204e-09        3.000000            0.0                 11                  
BIN11AJaggI         2.000000e+04        1.099900e+04        0.000000e+00        5.499500e-01        2.513070e+05        1.325000e+03        4.172802e-22        3.149284e-25        8.441204e-09        1.039715e-08        5.429137e-09        1.800000            4.0                 11                  
BIN11BJ             2.000000e+04        3.999000e+03        0.000000e+00        1.999500e-01        2.442510e+05        1.325000e+03        4.055641e-22        3.060861e-25        8.361452e-09        8.361452e-09        8.361452e-09        3.000000            1.0                 11                  
BIN11BJliq          2.000000e+04        3.999000e+03        0.000000e+00        1.999500e-01        2.442510e+05        1.325000e+03        4.055641e-22        3.060861e-25        8.361452e-09        8.361452e-09        8.361452e-09        3.000000            0.0                 11                  
BIN11BJaggI         2.000000e+04        3.999000e+03        0.000000e+00        1.999500e-01        2.442510e+05        1.325000e+03        4.055641e-22        3.060861e-25        8.361452e-09        1.023395e-08        5.429137e-09        1.800000            3.9                 11                  
BIN11CJ             2.000000e+04        1.000000e+03        0.000000e+00        5.000000e-02        2.412280e+05        1.325000e+03        4.005446e-22        3.022978e-25        8.326813e-09        8.326813e-09        8.326813e-09        3.000000            1.0                 11                  
BIN11CJliq          2.000000e+04        1.000000e+03        0.000000e+00        5.000000e-02        2.412280e+05        1.325000e+03        4.005446e-22        3.022978e-25        8.326813e-09        8.326813e-09        8.326813e-09        3.000000            0.0                 11                  
BIN11CJaggI         2.000000e+04        1.000000e+03        0.000000e+00        5.000000e-02        2.412280e+05        1.325000e+03        4.005446e-22        3.022978e-25        8.326813e-09        1.016339e-08        5.429137e-09        1.800000            3.8                 11                  
BIN12AJ             4.000000e+04        2.099900e+04        0.000000e+00        5.249750e-01        5.016070e+05        1.362500e+03        8.328883e-22        6.112942e-25        1.052973e-08        1.052973e-08        1.052973e-08        3.000000            1.0                 12                  
BIN12AJliq          4.000000e+04        2.099900e+04        0.000000e+00        5.249750e-01        5.016070e+05        1.362500e+03        8.328883e-22        6.112942e-25        1.052973e-08        1.052973e-08        1.052973e-08        3.000000            0.0                 12                  
BIN12AJaggI         4.000000e+04        2.099900e+04        0.000000e+00        5.249750e-01        5.016070e+05        1.362500e+03        8.328883e-22        6.112942e-25        1.052973e-08        1.526404e-08        5.429137e-09        1.800000            8.0                 12                  
BIN12BJ             4.000000e+04        7.999000e+03        0.000000e+00        1.999750e-01        4.885030e+05        1.362500e+03        8.111299e-22        5.953247e-25        1.043723e-08        1.043723e-08        1.043723e-08        3.000000            1.0                 12                  
BIN12BJliq          4.000000e+04        7.999000e+03        0.000000e+00        1.999750e-01        4.885030e+05        1.362500e+03        8.111299e-22        5.953247e-25        1.043723e-08        1.043723e-08        1.043723e-08        3.000000            0.0                 12                  
BIN12BJaggI         4.000000e+04        7.999000e+03        0.000000e+00        1.999750e-01        4.885030e+05        1.362500e+03        8.111299e-22        5.953247e-25        1.043723e-08        1.504120e-08        5.429137e-09        1.800000            7.7                 12                  
BIN12CJ             4.000000e+04        2.000000e+03        0.000000e+00        5.000000e-02        4.824560e+05        1.362500e+03        8.010892e-22        5.879554e-25        1.039398e-08        1.039398e-08        1.039398e-08        3.000000            1.0                 12                  
BIN12CJliq          4.000000e+04        2.000000e+03        0.000000e+00        5.000000e-02        4.824560e+05        1.362500e+03        8.010892e-22        5.879554e-25        1.039398e-08        1.039398e-08        1.039398e-08        3.000000            0.0                 12                  
BIN12CJaggI         4.000000e+04        2.000000e+03        0.000000e+00        5.000000e-02        4.824560e+05        1.362500e+03        8.010892e-22        5.879554e-25        1.039398e-08        1.493748e-08        5.429137e-09        1.800000            7.6                 12                  
BIN13AJ             8.000000e+04        3.999900e+04        0.000000e+00        4.999875e-01        1.001199e+06        1.400000e+03        1.662431e-21        1.187451e-24        1.313829e-08        1.313829e-08        1.313829e-08        3.000000            1.0                 13                  
BIN13AJliq          8.000000e+04        3.999900e+04        0.000000e+00        4.999875e-01        1.001199e+06        1.400000e+03        1.662431e-21        1.187451e-24        1.313829e-08        1.313829e-08        1.313829e-08        3.000000            0.0                 13                  
BIN13AJaggI         8.000000e+04        3.999900e+04        0.000000e+00        4.999875e-01        1.001199e+06        1.400000e+03        1.662431e-21        1.187451e-24        1.313829e-08        2.240904e-08        5.429137e-09        1.800000            15.9                13                  
BIN13BJ             8.000000e+04        1.599900e+04        0.000000e+00        1.999875e-01        9.770070e+05        1.400000e+03        1.622262e-21        1.158758e-24        1.303161e-08        1.303161e-08        1.303161e-08        3.000000            1.0                 13                  
BIN13BJliq          8.000000e+04        1.599900e+04        0.000000e+00        1.999875e-01        9.770070e+05        1.400000e+03        1.622262e-21        1.158758e-24        1.303161e-08        1.303161e-08        1.303161e-08        3.000000            0.0                 13                  
BIN13BJaggI         8.000000e+04        1.599900e+04        0.000000e+00        1.999875e-01        9.770070e+05        1.400000e+03        1.622262e-21        1.158758e-24        1.303161e-08        2.210659e-08        5.429137e-09        1.800000            15.5                13                  
BIN13CJ             8.000000e+04        4.000000e+03        0.000000e+00        5.000000e-02        9.649120e+05        1.400000e+03        1.602178e-21        1.144413e-24        1.297761e-08        1.297761e-08        1.297761e-08        3.000000            1.0                 13                  
BIN13CJliq          8.000000e+04        4.000000e+03        0.000000e+00        5.000000e-02        9.649120e+05        1.400000e+03        1.602178e-21        1.144413e-24        1.297761e-08        1.297761e-08        1.297761e-08        3.000000            0.0                 13                  
BIN13CJaggI         8.000000e+04        4.000000e+03        0.000000e+00        5.000000e-02        9.649120e+05        1.400000e+03        1.602178e-21        1.144413e-24        1.297761e-08        2.195413e-08        5.429137e-09        1.800000            15.3                13                  
BIN14AJ             1.600000e+05        7.599900e+04        0.000000e+00        4.749937e-01        1.998367e+06        1.437500e+03        3.318169e-21        2.308291e-24        1.639698e-08        1.639698e-08        1.639698e-08        3.000000            1.0                 14                  
BIN14AJliq          1.600000e+05        7.599900e+04        0.000000e+00        4.749937e-01        1.998367e+06        1.437500e+03        3.318169e-21        2.308291e-24        1.639698e-08        1.639698e-08        1.639698e-08        3.000000            0.0                 14                  
BIN14AJaggI         1.600000e+05        7.599900e+04        0.000000e+00        4.749937e-01        1.998367e+06        1.437500e+03        3.318169e-21        2.308291e-24        1.639698e-08        3.289849e-08        5.429137e-09        1.800000            31.7                14                  
BIN14BJ             1.600000e+05        3.199900e+04        0.000000e+00        1.999937e-01        1.954015e+06        1.437500e+03        3.244525e-21        2.257061e-24        1.627477e-08        1.627477e-08        1.627477e-08        3.000000            1.0                 14                  
BIN14BJliq          1.600000e+05        3.199900e+04        0.000000e+00        1.999937e-01        1.954015e+06        1.437500e+03        3.244525e-21        2.257061e-24        1.627477e-08        1.627477e-08        1.627477e-08        3.000000            0.0                 14                  
BIN14BJaggI         1.600000e+05        3.199900e+04        0.000000e+00        1.999937e-01        1.954015e+06        1.437500e+03        3.244525e-21        2.257061e-24        1.627477e-08        3.249083e-08        5.429137e-09        1.800000            31.0                14                  
BIN14CJ             1.600000e+05        8.000000e+03        0.000000e+00        5.000000e-02        1.929824e+06        1.437500e+03        3.204357e-21        2.229118e-24        1.620733e-08        1.620733e-08        1.620733e-08        3.000000            1.0                 14                  
BIN14CJliq          1.600000e+05        8.000000e+03        0.000000e+00        5.000000e-02        1.929824e+06        1.437500e+03        3.204357e-21        2.229118e-24        1.620733e-08        1.620733e-08        1.620733e-08        3.000000            0.0                 14                  
BIN14CJaggI         1.600000e+05        8.000000e+03        0.000000e+00        5.000000e-02        1.929824e+06        1.437500e+03        3.204357e-21        2.229118e-24        1.620733e-08        3.226674e-08        5.429137e-09        1.800000            30.6                14                  
BIN15AJ             3.200000e+05        1.439990e+05        0.000000e+00        4.499969e-01        3.988671e+06        1.475000e+03        6.622949e-21        4.490135e-24        2.046854e-08        2.046854e-08        2.046854e-08        3.000000            1.0                 15                  
BIN15AJliq          3.200000e+05        1.439990e+05        0.000000e+00        4.499969e-01        3.988671e+06        1.475000e+03        6.622949e-21        4.490135e-24        2.046854e-08        2.046854e-08        2.046854e-08        3.000000            0.0                 15                  
BIN15AJaggI         3.200000e+05        1.439990e+05        0.000000e+00        4.499969e-01        3.988671e+06        1.475000e+03        6.622949e-21        4.490135e-24        2.046854e-08        4.829783e-08        5.429137e-09        1.800000            63.2                15                  
BIN15BJ             3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        2.032966e-08        2.032966e-08        3.000000            1.0                 15                  
BIN15BJliq          3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        2.032966e-08        2.032966e-08        3.000000            0.0                 15                  
BIN15BJaggI         3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        4.775290e-08        5.429137e-09        1.800000            62.0                15                  
BIN15CJ             3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        2.024542e-08        2.024542e-08        3.000000            1.0                 15                  
BIN15CJliq          3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        2.024542e-08        2.024542e-08        3.000000            0.0                 15                  
BIN15CJaggI         3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        4.742354e-08        5.429137e-09        1.800000            61.2                15                  
BIN16AJ             6.400000e+05        2.719990e+05        0.000000e+00        4.249984e-01        7.961215e+06        1.512500e+03        1.321912e-20        8.739914e-24        2.555659e-08        2.555659e-08        2.555659e-08        3.000000            1.0                 16                  
BIN16AJliq          6.400000e+05        2.719990e+05        0.000000e+00        4.249984e-01        7.961215e+06        1.512500e+03        1.321912e-20        8.739914e-24        2.555659e-08        2.555659e-08        2.555659e-08        3.000000            0.0                 16                  
BIN16AJaggI         6.400000e+05        2.719990e+05        0.000000e+00        4.249984e-01        7.961215e+06        1.512500e+03        1.321912e-20        8.739914e-24        2.555659e-08        7.090523e-08        5.429137e-09        1.800000            126.2               16                  
BIN16AJaggII        6.400000e+05        2.719990e+05        0.000000e+00        4.249984e-01        7.961215e+06        1.512500e+03        1.321912e-20        8.739914e-24        2.555659e-08        2.669970e-08        2.046854e-08        1.800000            2.0                 16                  
BIN16BJ             6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        2.540031e-08        2.540031e-08        3.000000            1.0                 16                  
BIN16BJliq          6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        2.540031e-08        2.540031e-08        3.000000            0.0                 16                  
BIN16BJaggI         6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        7.018408e-08        5.429137e-09        1.800000            123.9               16                  
BIN16BJaggII        6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        2.642815e-08        2.046854e-08        1.800000            2.0                 16                  
BIN16CJ             6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        2.529505e-08        2.529505e-08        3.000000            1.0                 16                  
BIN16CJliq          6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        2.529505e-08        2.529505e-08        3.000000            0.0                 16                  
BIN16CJaggI         6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        6.970002e-08        5.429137e-09        1.800000            122.4               16                  
BIN16CJaggII        6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        2.624587e-08        2.046854e-08        1.800000            1.9                 16                  
BIN17AJ             1.280000e+06        5.119990e+05        0.000000e+00        3.999992e-01        1.589017e+07        1.550000e+03        2.638468e-20        1.702238e-23        3.191591e-08        3.191591e-08        3.191591e-08        3.000000            1.0                 17                  
BIN17AJliq          1.280000e+06        5.119990e+05        0.000000e+00        3.999992e-01        1.589017e+07        1.550000e+03        2.638468e-20        1.702238e-23        3.191591e-08        3.191591e-08        3.191591e-08        3.000000            0.0                 17                  
BIN17AJaggI         1.280000e+06        5.119990e+05        0.000000e+00        3.999992e-01        1.589017e+07        1.550000e+03        2.638468e-20        1.702238e-23        3.191591e-08        1.040945e-07        5.429137e-09        1.800000            251.9               17                  
BIN17AJaggII        1.280000e+06        5.119990e+05        0.000000e+00        3.999992e-01        1.589017e+07        1.550000e+03        2.638468e-20        1.702238e-23        3.191591e-08        3.919729e-08        2.046854e-08        1.800000            4.0                 17                  
BIN17BJ             1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        3.174220e-08        3.174220e-08        3.000000            1.0                 17                  
BIN17BJliq          1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        3.174220e-08        3.174220e-08        3.000000            0.0                 17                  
BIN17BJaggI         1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        1.031520e-07        5.429137e-09        1.800000            247.8               17                  
BIN17BJaggII        1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        3.884237e-08        2.046854e-08        1.800000            3.9                 17                  
BIN17CJ             1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        3.161066e-08        3.161066e-08        3.000000            1.0                 17                  
BIN17CJliq          1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        3.161066e-08        3.161066e-08        3.000000            0.0                 17                  
BIN17CJaggI         1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        1.024405e-07        5.429137e-09        1.800000            244.8               17                  
BIN17CJaggII        1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        3.857446e-08        2.046854e-08        1.800000            3.9                 17                  
BIN18AJ             2.560000e+06        9.599990e+05        0.000000e+00        3.749996e-01        3.171584e+07        1.587500e+03        5.266225e-20        3.317307e-23        3.986536e-08        3.986536e-08        3.986536e-08        3.000000            1.0                 18                  
BIN18AJliq          2.560000e+06        9.599990e+05        0.000000e+00        3.749996e-01        3.171584e+07        1.587500e+03        5.266225e-20        3.317307e-23        3.986536e-08        3.986536e-08        3.986536e-08        3.000000            0.0                 18                  
BIN18AJaggI         2.560000e+06        9.599990e+05        0.000000e+00        3.749996e-01        3.171584e+07        1.587500e+03        5.266225e-20        3.317307e-23        3.986536e-08        1.528187e-07        5.429137e-09        1.800000            502.8               18                  
BIN18AJaggII        2.560000e+06        9.599990e+05        0.000000e+00        3.749996e-01        3.171584e+07        1.587500e+03        5.266225e-20        3.317307e-23        3.986536e-08        5.754461e-08        2.046854e-08        1.800000            8.0                 18                  
BIN18BJ             2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        3.967525e-08        3.967525e-08        3.000000            1.0                 18                  
BIN18BJliq          2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        3.967525e-08        3.967525e-08        3.000000            0.0                 18                  
BIN18BJaggI         2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        1.516060e-07        5.429137e-09        1.800000            495.6               18                  
