Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN15BJ             3.200000e+05        6.399900e+04        0.000000e+00        1.999969e-01        3.908031e+06        1.475000e+03        6.489051e-21        4.399357e-24        2.032966e-08        2.926957e-08        1.052973e-08        1.800000            7.8                 15                  
BIN15CJ             3.200000e+05        1.600000e+04        0.000000e+00        5.000000e-02        3.859648e+06        1.475000e+03        6.408714e-21        4.344891e-24        2.024542e-08        2.906769e-08        1.052973e-08        1.800000            7.7                 15                  
BIN16AJ             6.400000e+05        2.719990e+05        0.000000e+00        4.249984e-01        7.961215e+06        1.512500e+03        1.321912e-20        8.739914e-24        2.555659e-08        4.346051e-08        1.052973e-08        1.800000            15.9                16                  
BIN16BJ             6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        4.301849e-08        1.052973e-08        1.800000            15.6                16                  
BIN16CJ             6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        4.272179e-08        1.052973e-08        1.800000            15.4                16                  
BIN17AJ             1.280000e+06        5.119990e+05        0.000000e+00        3.999992e-01        1.589017e+07        1.550000e+03        2.638468e-20        1.702238e-23        3.191591e-08        6.380349e-08        1.052973e-08        1.800000            31.7                17                  
BIN17BJ             1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        6.322577e-08        1.052973e-08        1.800000            31.2                17                  
BIN17CJ             1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        6.278969e-08        1.052973e-08        1.800000            30.8                17                  
BIN18AJ             2.560000e+06        9.599990e+05        0.000000e+00        3.749996e-01        3.171584e+07        1.587500e+03        5.266225e-20        3.317307e-23        3.986536e-08        9.366839e-08        1.052973e-08        1.800000            63.2                18                  
BIN18BJ             2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        9.292509e-08        1.052973e-08        1.800000            62.3                18                  
BIN18CJ             2.560000e+06        1.280000e+05        0.000000e+00        5.000000e-02        3.087718e+07        1.587500e+03        5.126971e-20        3.229588e-23        3.951083e-08        9.228417e-08        1.052973e-08        1.800000            61.6                18                  
BIN19AJ             5.120000e+06        1.791999e+06        0.000000e+00        3.499998e-01        6.330265e+07        1.625000e+03        1.051103e-19        6.468324e-23        4.980402e-08        1.375120e-07        1.052973e-08        1.800000            126.2               19                  
BIN19BJ             5.120000e+06        1.023999e+06        0.000000e+00        1.999998e-01        6.252851e+07        1.625000e+03        1.038248e-19        6.389221e-23        4.960016e-08        1.365752e-07        1.052973e-08        1.800000            124.7               19                  
BIN19CJ             5.120000e+06        2.560000e+05        0.000000e+00        5.000000e-02        6.175437e+07        1.625000e+03        1.025394e-19        6.310118e-23        4.939462e-08        1.356332e-07        1.052973e-08        1.800000            123.1               19                  
BIN20AJ             1.024000e+07        3.327999e+06        0.000000e+00        3.249999e-01        1.263473e+08        1.662500e+03        2.097921e-19        1.261907e-22        6.223140e-08        2.018772e-07        1.052973e-08        1.800000            251.9               20                  
