dummy(1)            x[cm](2)            T[K](3)             v[cm/s](4)          m[kg/m2/s](5)       rho[kg/m3](6)       fv(L)[-](7)         x(L)[-](8)          w(L)[-](9)          rho(L)[kg/m3](10)   N(L)[#/cm3](11)     H/C(L)[-](12)       O/C(L)[-](13)       O/H(L)[-](14)       fv(S)[-](15)        x(S)[-](16)         w(S)[-](17)         rho(S)[kg/m3](18)   N(S)[#/cm3](19)     H/C(S)[-](20)       O/C(S)[-](21)       O/H(S)[-](22)       
0                   7.857142857e-02     1.853288504e+03     3.403913869e+01     6.747217351e-02     1.982193913e-01     1.447404458e-11     4.411431230e-10     1.107365123e-07     2.195012406e-08     1.746907514e+09     1.738593758e-01     0.000000000e+00     0.000000000e+00     4.216409083e-11     3.633863608e-08     3.190713877e-07     6.324613625e-08     1.438994129e+11     3.919836982e-01     0.000000000e+00     0.000000000e+00     
0                   8.035714286e-02     1.864017589e+03     3.424799047e+01     6.743008829e-02     1.968877221e-01     1.570290655e-11     4.812913487e-10     1.209740384e-07     2.381830284e-08     1.894922622e+09     1.715051596e-01     0.000000000e+00     0.000000000e+00     4.316144840e-11     3.732531843e-08     3.288278818e-07     6.474217261e-08     1.469558729e+11     3.899764485e-01     0.000000000e+00     0.000000000e+00     
0                   8.214285714e-02     1.873533642e+03     3.443004762e+01     6.738750073e-02     1.957229379e-01     1.694943657e-11     5.230022575e-10     1.313741737e-07     2.571293924e-08     2.048686469e+09     1.692298636e-01     0.000000000e+00     0.000000000e+00     4.420175839e-11     3.832920249e-08     3.387576249e-07     6.630263759e-08     1.501418347e+11     3.883435738e-01     0.000000000e+00     0.000000000e+00     
0                   8.392857143e-02     1.881963674e+03     3.458815518e+01     6.734438854e-02     1.947036151e-01     1.821022982e-11     5.662615305e-10     1.419010465e-07     2.762864675e-08     2.208204311e+09     1.670726509e-01     0.000000000e+00     0.000000000e+00     4.530176013e-11     3.936653385e-08     3.490055392e-07     6.795264019e-08     1.535144894e+11     3.870568994e-01     0.000000000e+00     0.000000000e+00     
0                   8.571428571e-02     1.889428132e+03     3.472500070e+01     6.730073186e-02     1.938105990e-01     1.948271781e-11     6.110621200e-10     1.525268745e-07     2.956132492e-08     2.373495520e+09     1.650654819e-01     0.000000000e+00     0.000000000e+00     4.647329479e-11     4.044923460e-08     3.596807530e-07     6.970994219e-08     1.571134488e+11     3.860760669e-01     0.000000000e+00     0.000000000e+00     
0                   8.750000000e-02     1.896038171e+03     3.484305545e+01     6.725651311e-02     1.930270243e-01     2.076507266e-11     6.574031173e-10     1.632311272e-07     3.150801876e-08     2.544591746e+09     1.632326508e-01     0.000000000e+00     0.000000000e+00     4.772393540e-11     4.158531566e-08     3.708594865e-07     7.158590311e-08     1.609631111e+11     3.853547924e-01     0.000000000e+00     0.000000000e+00     
0                   8.928571429e-02     1.901894395e+03     3.494454856e+01     6.721171679e-02     1.923382031e-01     2.205607479e-11     7.052886761e-10     1.739993353e-07     3.346671949e-08     2.721535125e+09     1.615911290e-01     0.000000000e+00     0.000000000e+00     4.905777900e-11     4.277950813e-08     3.825899759e-07     7.358666850e-08     1.650755754e+11     3.848457200e-01     0.000000000e+00     0.000000000e+00     
0                   9.285714286e-02     1.911620085e+03     3.510389335e+01     6.712033067e-02     1.912048046e-01     2.466866605e-11     8.058782305e-10     1.957421061e-07     3.742683115e-08     3.093864367e+09     1.588758641e-01     0.000000000e+00     0.000000000e+00     5.198135367e-11     4.534968643e-08     4.077932596e-07     7.797203051e-08     1.741029520e+11     3.843131497e-01     0.000000000e+00     0.000000000e+00     
0                   9.642857143e-02     1.919305934e+03     3.521840501e+01     6.702648815e-02     1.903166488e-01     2.730871343e-11     9.118834485e-10     2.176571520e-07     4.142377974e-08     3.486812210e+09     1.569225777e-01     0.000000000e+00     0.000000000e+00     5.521266328e-11     4.814148671e-08     4.351642143e-07     8.281899492e-08     1.840808976e+11     3.841407559e-01     0.000000000e+00     0.000000000e+00     
0                   1.000000000e-01     1.925407569e+03     3.529798602e+01     6.693011993e-02     1.896145573e-01     2.997702294e-11     1.023106869e-09     2.397427306e-07     4.545871173e-08     3.899705017e+09     1.556410027e-01     0.000000000e+00     0.000000000e+00     5.872125106e-11     5.113135915e-08     4.645311933e-07     8.808187659e-08     1.948938315e+11     3.841211406e-01     0.000000000e+00     0.000000000e+00     
