temperature;363.15 K
pressure;0.324697755 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.80926386E-02;0.98606076
0.84653438E-02;0.93688021
0.89077823E-02;0.93668591
0.90130783E-02;1.1239423
0.94996923E-02;1.0227371
0.97269965E-02;1.1416099
0.10010243E-01;0.94208938
0.10557765E-01;1.0992195
0.11064279E-01;0.92426901
0.11288822E-01;1.0647273
0.11871121E-01;0.91966965
0.12022170E-01;1.1016302
0.12665180E-01;0.96305096
0.15210308E-01;0.97034345
0.15281060E-01;1.0136328
0.18278188E-01;0.97830479
0.18413025E-01;1.0740532
0.18705330E-01;1.0483995
0.18914747E-01;0.90798949
0.19020768E-01;0.95723389
0.22486263E-01;0.96501419
0.22663264E-01;1.1370254
0.22836164E-01;1.0105167
0.23499076E-01;1.1097137
0.23969902E-01;0.95152380
0.24946471E-01;0.99419303
0.30294607E-01;0.97695817
0.30436649E-01;1.0647003
0.30559422E-01;1.0294660
0.30674778E-01;0.94172398
0.31615719E-01;1.1203388
0.31764483E-01;1.0565834
0.31850443E-01;0.96728885
0.33349646E-01;0.95191502
0.37889434E-01;1.0010906
0.37964454E-01;1.0681485
0.38861366E-01;1.0563920
0.39109346E-01;1.0153332
0.39214727E-01;0.91366955
0.39393181E-01;0.94823132
0.41537112E-01;0.97622544
0.42230999E-01;0.92843495
0.42816814E-01;0.95830554
0.42963815E-01;1.0983366
0.43491028E-01;1.0556974
0.43728323E-01;0.95055846
0.45910482E-01;0.94288339
0.46590256E-01;1.0287837
0.49774584E-01;0.93522519
0.49893340E-01;1.0666331
0.50928299E-01;0.94409590
0.51405926E-01;0.98945504
0.51529665E-01;1.0883387
0.52301689E-01;1.0301111
0.52429092E-01;1.0913979
0.52615801E-01;0.95134505
0.53495271E-01;0.95306858
0.56145172E-01;1.0762858
0.56211755E-01;0.99764407
0.56651109E-01;0.93313209
0.57275992E-01;0.93172551
0.57406250E-01;1.0868742
0.58087278E-01;0.92477117
0.58960600E-01;0.96666931
0.59019983E-01;1.0197945
0.61797045E-01;1.0460710
0.61878780E-01;0.95303394
0.63320142E-01;0.96037116
0.63411499E-01;0.91583959
0.63537390E-01;1.0773367
0.63760271E-01;1.0297968
0.66070509E-01;1.0523735
0.66541292E-01;0.88822622
0.66807642E-01;1.0198628
0.67071786E-01;0.93440134
0.67298770E-01;1.0220739
0.67648543E-01;0.88443502
0.69302733E-01;0.79172324
0.69953486E-01;0.87157047
0.71676802E-01;0.66691331
0.72907331E-01;0.62417525
0.74513013E-01;0.48412032
0.76073786E-01;0.38370562
0.77294359E-01;0.28967528
0.77917531E-01;0.24637171
0.78312127E-01;0.21637385
0.78810544E-01;0.17823676
0.79363238E-01;0.13665034
0.80289775E-01;0.83666076E-01
0.80980666E-01;0.70993597E-01
0.82200012E-01;0.74980365E-01
0.84900569E-01;0.80135171E-01
0.91337183E-01;0.84261609E-01
0.10041144;0.87776386E-01
0.12268495;0.91939424E-01
0.16123183;0.96324319E-01
0.23541060;0.10114238
0.32364750;0.10538844
0.43959848;0.10993446
0.50010000;0.11173111
