temperature;373.15 K
pressure;0.325684678 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.53971119E-02;1.0018682
0.54639670E-02;1.0768377
0.60134331E-02;1.1245450
0.61407251E-02;0.95953243
0.68461588E-02;1.1120909
0.74747880E-02;0.99323637
0.77873962E-02;1.1531010
0.79636662E-02;0.95695720
0.84782399E-02;0.99594275
0.85715537E-02;1.1441462
0.90448558E-02;1.0998398
0.91443867E-02;0.96794264
0.10062326E-01;0.98237987
0.10341286E-01;1.0508156
0.10677063E-01;1.0114778
0.10839028E-01;0.94748945
0.13126275E-01;1.0213101
0.13585821E-01;0.96575496
0.13681739E-01;1.0641298
0.14167433E-01;0.96502548
0.23646472E-01;1.0310849
0.23731746E-01;0.95832298
0.23824159E-01;1.0112991
0.25325253E-01;0.97582603
0.25504611E-01;1.1153154
0.25673299E-01;1.0709518
0.26316922E-01;1.1516461
0.26685510E-01;0.93683427
0.26887676E-01;1.0478692
0.26994049E-01;0.96406310
0.28984376E-01;1.0214677
0.29127696E-01;0.98606976
0.31285502E-01;1.0285405
0.31351253E-01;1.1455703
0.31609970E-01;1.0942305
0.32495968E-01;1.0889758
0.33029830E-01;0.97410753
0.34398527E-01;0.99029213
0.34562205E-01;0.91872687
0.34741334E-01;1.1090926
0.40427014E-01;0.97981060
0.47452450E-01;1.0502762
0.47514395E-01;0.98543608
0.47878798E-01;0.97689152
0.48076431E-01;1.1382573
0.49813296E-01;1.0181800
0.49902635E-01;1.1460012
0.50108682E-01;1.0967707
0.50235414E-01;0.97251953
0.50499048E-01;1.1478220
0.50765361E-01;1.0597982
0.50931096E-01;0.94995289
0.52436191E-01;1.1113406
0.52538450E-01;1.0363061
0.54080246E-01;0.98716055
0.60168055E-01;1.0149151
0.60845130E-01;0.97782363
0.60930930E-01;1.0626437
0.61917087E-01;1.0328372
0.62123800E-01;1.1588822
0.62338827E-01;1.0711667
0.62420390E-01;0.96371349
0.62765791E-01;1.0896953
0.62922906E-01;0.98215394
0.64333394E-01;0.98045016
0.64399415E-01;1.0154437
0.64483748E-01;1.1388354
0.65105871E-01;1.0117206
0.65159395E-01;0.97049279
0.67852817E-01;0.93028842
0.67932029E-01;0.88863830
0.68046272E-01;0.88730799
0.68198766E-01;1.0078737
0.68426297E-01;0.94835554
0.68503373E-01;0.90691195
0.68625475E-01;0.94341602
0.68807175E-01;0.83857106
0.69790482E-01;0.80730713
0.70954892E-01;0.72510128
0.72565999E-01;0.64012606
0.75543851E-01;0.43055183
0.76973914E-01;0.31388913
0.77668579E-01;0.26219757
0.78218104E-01;0.22143018
0.78666546E-01;0.19059896
0.79012043E-01;0.16277188
0.79414530E-01;0.13349170
0.80192438E-01;0.87172353E-01
0.81049083E-01;0.71046623E-01
0.81942265E-01;0.75722779E-01
0.84941558E-01;0.81490986E-01
0.92412464E-01;0.86477964E-01
0.10467738;0.90110742E-01
0.12666344;0.93504132E-01
0.16628265;0.97582697E-01
0.23690405;0.10197740
0.33019832;0.10632768
0.48319518;0.11177600
0.49961298;0.11186066
0.50010000;0.11236454
