temperature;323.15 K
pressure;0.312854676 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.61857749E-02;1.0145896
0.67214239E-02;0.94844710
0.68462328E-02;1.1012125
0.72516855E-02;1.0630637
0.74776566E-02;1.1300871
0.12430849E-01;0.99173366
0.12869247E-01;0.96662152
0.13608428E-01;1.1896894
0.13758641E-01;0.99232595
0.14848626E-01;0.98863301
0.16093790E-01;1.0269392
0.16397107E-01;1.0175759
0.16454215E-01;0.92880403
0.16508351E-01;0.92764930
0.16709922E-01;1.2118459
0.16829354E-01;1.1204895
0.17061665E-01;1.1243036
0.17183576E-01;1.0048094
0.17256214E-01;1.1043059
0.17474904E-01;1.1389926
0.17601872E-01;1.0543855
0.17878385E-01;0.97455022
0.18214148E-01;0.99837798
0.19498206E-01;1.0032635
0.19594510E-01;1.1316386
0.21341580E-01;1.1471559
0.21544996E-01;1.0928531
0.21608875E-01;0.99640555
0.21745302E-01;1.1057172
0.21925348E-01;0.93022982
0.22042396E-01;1.0158245
0.22351732E-01;1.0086256
0.22442230E-01;0.96189937
0.22554550E-01;1.1463632
0.23161150E-01;0.97782731
0.23685540E-01;1.0338676
0.23894724E-01;1.1757406
0.24868367E-01;0.99170617
0.24956728E-01;1.0252449
0.25508343E-01;1.1330891
0.25555821E-01;1.1795116
0.26119316E-01;0.99799605
0.26667366E-01;0.99575093
0.27164971E-01;1.1252983
0.27285675E-01;1.0802725
0.27590244E-01;1.1655895
0.29501024E-01;0.98376256
0.29986316E-01;1.1610689
0.32582016E-01;0.97433387
0.33238299E-01;1.0314993
0.33307499E-01;1.1276049
0.33446795E-01;1.1443789
0.37196213E-01;0.98921539
0.38237927E-01;0.99720427
0.43147742E-01;0.98617185
0.43239477E-01;0.96582312
0.43408742E-01;1.1370838
0.43849003E-01;1.0681194
0.44160298E-01;1.1178649
0.44304485E-01;1.0042846
0.44797645E-01;0.96612283
0.45374476E-01;1.0039560
0.45502721E-01;1.1827898
0.45619257E-01;1.1265090
0.46710382E-01;1.0833501
0.47005183E-01;1.1872455
0.48233828E-01;1.0292053
0.48428954E-01;1.1399679
0.49426306E-01;1.0003470
0.64241077E-01;1.0580008
0.65869909E-01;0.93833903
0.66354815E-01;1.1037911
0.66542050E-01;1.0435223
0.66677611E-01;1.0626933
0.67274243E-01;0.88252376
0.67595683E-01;0.95596626
0.71428181E-01;0.70860435
0.71501956E-01;0.74128227
0.71806789E-01;0.70468336
0.71939403E-01;0.65248868
0.74116736E-01;0.53764849
0.74389128E-01;0.49350594
0.74846381E-01;0.48824412
0.76594464E-01;0.34715755
0.77551349E-01;0.26955561
0.78310050E-01;0.21745420
0.78609480E-01;0.19230159
0.79113434E-01;0.15539811
0.79510250E-01;0.12508344
0.80138003E-01;0.87721550E-01
0.81061464E-01;0.70868292E-01
0.81814098E-01;0.75517496E-01
0.84536099E-01;0.81333262E-01
0.92543766E-01;0.87047942E-01
0.11112361;0.92203210E-01
0.14671283;0.97003648E-01
0.23275299;0.10267644
0.37464665;0.10926934
0.49367439;0.11379432
0.50010000;0.11370283
