temperature;333.15 K
pressure;0.315815445 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.50221041E-02;1.0022415
0.51536369E-02;1.1230577
0.54069414E-02;1.1458618
0.55074351E-02;1.0229641
0.69193082E-02;0.96202156
0.71935016E-02;1.1620060
0.73555620E-02;1.0219045
0.77112617E-02;1.0055283
0.79624657E-02;1.1819892
0.82288323E-02;0.98192551
0.95032924E-02;1.0158536
0.95985328E-02;1.1639391
0.98668912E-02;1.1122978
0.10333444E-01;0.95515675
0.10680271E-01;1.0414153
0.11683575E-01;1.0099264
0.23602089E-01;1.0210335
0.23663643E-01;0.96616925
0.24399571E-01;1.0012557
0.25460245E-01;1.1437744
0.25612797E-01;1.0067021
0.26405637E-01;0.98752300
0.27298788E-01;1.0039083
0.29021114E-01;1.1438071
0.29155821E-01;0.97068556
0.29887000E-01;1.0444222
0.30567879E-01;0.97735377
0.30878154E-01;1.1092469
0.31099369E-01;0.97708009
0.31460425E-01;1.0026567
0.31601696E-01;1.1185860
0.31771772E-01;1.1519597
0.32244800E-01;1.1588130
0.32699736E-01;1.0216947
0.33844693E-01;0.97934622
0.34751398E-01;1.2249013
0.34931040E-01;1.0238491
0.35737922E-01;0.99959478
0.35803465E-01;1.1443944
0.35858593E-01;1.1778746
0.35968941E-01;1.0960133
0.36108266E-01;1.0802203
0.36453271E-01;1.1658815
0.36576337E-01;0.93622971
0.36707906E-01;1.0076515
0.47698224E-01;1.0089718
0.47753209E-01;1.1049305
0.50677382E-01;1.0069979
0.53891560E-01;1.1305145
0.53990853E-01;0.99971325
0.55211035E-01;1.0170510
0.55328363E-01;0.98335404
0.57519713E-01;1.1251585
0.57745791E-01;0.94897397
0.57854256E-01;1.0210062
0.57934638E-01;0.99993419
0.59689567E-01;0.99649157
0.59839556E-01;1.1519554
0.59993168E-01;1.0118959
0.60357601E-01;1.0053007
0.60427885E-01;1.0740295
0.61695895E-01;1.0138848
0.61756700E-01;1.1099903
0.61999177E-01;1.2153575
0.62106964E-01;1.0558140
0.63360819E-01;1.0184935
0.63486168E-01;0.98639895
0.63607531E-01;1.1365987
0.64360642E-01;1.1198728
0.64594373E-01;0.95456821
0.64700458E-01;1.0258129
0.65203720E-01;0.99420049
0.65593021E-01;1.0876227
0.65948174E-01;0.93606389
0.67342156E-01;0.95332553
0.67755967E-01;0.84531654
0.67812010E-01;0.88685643
0.68167472E-01;0.88928517
0.68211172E-01;0.92891122
0.69451894E-01;0.86825496
0.69528888E-01;0.92800341
0.69999302E-01;0.83876608
0.72970484E-01;0.62719935
0.73987405E-01;0.54051543
0.76164892E-01;0.38289460
0.77578603E-01;0.27671356
0.78457847E-01;0.20708060
0.78915714E-01;0.17233271
0.79418402E-01;0.13759800
0.80245289E-01;0.86230438E-01
0.81096413E-01;0.70714053E-01
0.81930246E-01;0.75146848E-01
0.84878626E-01;0.80621353E-01
0.92560443E-01;0.85623483E-01
0.10594132;0.89740398E-01
0.13213909;0.94096559E-01
0.18152303;0.98715721E-01
0.28384836;0.10454186
0.42406270;0.11045744
0.50010000;0.11320742
