temperature;353.15 K
pressure;0.321736985 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.40226327E-02;0.99995059
0.75071532E-02;0.96004363
0.76059859E-02;1.1266978
0.79169894E-02;1.1052789
0.81523318E-02;0.94755168
0.82042276E-02;0.97443232
0.18033299E-01;0.99525723
0.18271064E-01;1.1120884
0.18679936E-01;0.95763417
0.19269610E-01;0.97565994
0.19811631E-01;0.95550875
0.19896050E-01;1.0522669
0.20324250E-01;1.0975952
0.20748489E-01;0.96769253
0.22322242E-01;0.98425926
0.23122433E-01;1.1001305
0.24022244E-01;1.1079319
0.24491154E-01;0.92767893
0.24862964E-01;1.1074724
0.25259711E-01;1.1140213
0.26850723E-01;0.94660217
0.27749702E-01;1.0472382
0.27915450E-01;0.95396317
0.29013786E-01;0.99948547
0.29689592E-01;0.95832500
0.29798339E-01;1.0917729
0.30619996E-01;1.0957811
0.30721438E-01;0.98673780
0.31014547E-01;0.96935285
0.31127265E-01;1.1147981
0.32432945E-01;1.0405875
0.32504999E-01;0.96493732
0.33325436E-01;0.98489276
0.33473295E-01;0.88125792
0.33560662E-01;0.96037095
0.35423828E-01;1.0036474
0.36029933E-01;0.93271188
0.36166054E-01;1.0720330
0.36382202E-01;1.0971897
0.36563887E-01;1.0180567
0.36621449E-01;1.0489030
0.37200732E-01;1.0821750
0.37330982E-01;0.94451468
0.40377764E-01;0.96171376
0.40541963E-01;1.1152548
0.40872923E-01;0.97703663
0.41893302E-01;1.1005982
0.42072931E-01;1.0913227
0.42280659E-01;0.93355997
0.42870777E-01;1.0860839
0.43445728E-01;1.0747213
0.43520258E-01;0.99221592
0.46974744E-01;0.96744710
0.47341380E-01;1.0003320
0.49890713E-01;0.95165164
0.49952117E-01;1.0230832
0.50008384E-01;1.0025358
0.59019956E-01;0.98199546
0.59218552E-01;1.1074431
0.59457268E-01;1.1188192
0.60031307E-01;0.92530195
0.60554476E-01;1.1183888
0.60739698E-01;1.1219894
0.60853990E-01;0.96650602
0.61288815E-01;0.98581279
0.61526386E-01;1.1126357
0.61752215E-01;1.0845008
0.61847053E-01;0.97950092
0.62567583E-01;0.95097212
0.64021604E-01;1.0432254
0.64113155E-01;0.97301918
0.64553797E-01;1.0062166
0.68539484E-01;0.87936709
0.68588386E-01;0.85520711
0.71039502E-01;0.72281083
0.71106177E-01;0.77086585
0.71752573E-01;0.66016016
0.72530443E-01;0.66147319
0.72775242E-01;0.60763078
0.75206412E-01;0.46169012
0.75309164E-01;0.43872384
0.76540860E-01;0.35290099
0.77596783E-01;0.28008213
0.78294002E-01;0.22511944
0.78756436E-01;0.19192837
0.79208749E-01;0.15748833
0.79566048E-01;0.13245350
0.80345143E-01;0.87143485E-01
0.81069349E-01;0.72846287E-01
0.81390662E-01;0.72175003E-01
0.82018684E-01;0.75407952E-01
0.85108265E-01;0.80883189E-01
0.92772534E-01;0.85928209E-01
0.10514843;0.89780279E-01
0.12638007;0.93288385E-01
0.15906900;0.96792807E-01
0.22157227;0.10101289
0.32822978;0.10616696
0.49908592;0.11256305
0.50010000;0.11263932
