temperature;303.15 K
pressure;0.301011596 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.53393801E-02;1.0023105
0.54961870E-02;1.0834385
0.56951344E-02;0.93351942
0.89510244E-02;0.95972377
0.96108723E-02;1.0984525
0.11017939E-01;1.0481326
0.11686585E-01;0.92930953
0.14339740E-01;0.97164991
0.14931988E-01;0.90877780
0.16652353E-01;1.1213922
0.17677996E-01;1.0494457
0.17943528E-01;0.90713714
0.18732879E-01;0.93852103
0.18893869E-01;1.0764529
0.19070300E-01;1.1067439
0.19408089E-01;0.89894282
0.19626350E-01;0.92781180
0.19808726E-01;1.1374345
0.20019891E-01;1.0371749
0.20133806E-01;0.91464203
0.20652531E-01;1.0663128
0.20833255E-01;0.94540666
0.21451203E-01;0.94192337
0.21900736E-01;1.1117146
0.22478771E-01;0.97195978
0.22702801E-01;1.1085360
0.23715392E-01;0.93663471
0.28782381E-01;1.0078699
0.28894385E-01;0.87717480
0.29567652E-01;1.0590976
0.30196928E-01;0.90437294
0.31857594E-01;1.0067304
0.33796605E-01;0.97609228
0.34051897E-01;1.1074910
0.34497872E-01;0.92305206
0.36542042E-01;0.97130846
0.36664358E-01;1.0849411
0.37005594E-01;1.0171678
0.43666084E-01;0.95248430
0.44034993E-01;0.89770639
0.44351060E-01;1.0822229
0.44555467E-01;1.0275136
0.44622977E-01;0.92286811
0.45127546E-01;0.95521985
0.48053787E-01;1.0705616
0.49004830E-01;0.89792270
0.49476969E-01;1.1093483
0.49726900E-01;0.92131837
0.50799371E-01;1.0311413
0.51717988E-01;0.91752518
0.51763660E-01;0.94868138
0.53931430E-01;0.93925829
0.54151643E-01;1.0095718
0.54205117E-01;1.1156973
0.54352771E-01;1.0771230
0.54928265E-01;1.0705477
0.55291994E-01;0.93121990
0.57264689E-01;0.93086113
0.57362454E-01;1.0696218
0.57807931E-01;1.0516115
0.57920352E-01;0.95555806
0.58502959E-01;0.93717791
0.58593121E-01;1.0586171
0.60005570E-01;0.91148795
0.60952603E-01;0.94902442
0.61057297E-01;1.1098370
0.61200224E-01;1.1228648
0.61575740E-01;0.93705756
0.61706742E-01;0.94493148
0.61815377E-01;1.0806908
0.62025663E-01;1.0589746
0.62119479E-01;0.95002076
0.62535492E-01;1.1231051
0.62823556E-01;0.95637881
0.63828769E-01;0.92402529
0.64047696E-01;0.94940671
0.64252294E-01;1.0946341
0.64513417E-01;0.92980035
0.66213592E-01;0.91592728
0.66904679E-01;0.85315642
0.67391579E-01;0.90813770
0.71577484E-01;0.68824920
0.74575236E-01;0.47268767
0.76382610E-01;0.34630157
0.77254199E-01;0.28209239
0.77971635E-01;0.22280162
0.78411248E-01;0.19147006
0.78864660E-01;0.15843786
0.79262909E-01;0.12918734
0.80052766E-01;0.84295882E-01
0.80759264E-01;0.71206403E-01
0.84460581E-01;0.79399170E-01
0.92188527E-01;0.84207862E-01
0.99584059E-01;0.87059679E-01
0.11905391;0.91275313E-01
0.16460018;0.96022825E-01
0.25969204;0.10181195
0.38084906;0.10771449
0.48767077;0.11204287
0.50010000;0.11235548
