temperature;343.15 K
pressure;0.318776215 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.49506718E-02;1.0000974
0.50029240E-02;1.1091887
0.50598180E-02;1.1552787
0.52642476E-02;1.1262145
0.80045875E-02;0.98274800
0.83474426E-02;0.94128992
0.84703797E-02;1.0881551
0.90554179E-02;1.0922226
0.93095854E-02;0.95271797
0.10971061E-01;0.97050031
0.11115043E-01;1.1756437
0.11574040E-01;0.95369200
0.13652032E-01;0.97632759
0.14126775E-01;1.1103857
0.14542481E-01;0.97239210
0.16779201E-01;0.97717396
0.16903033E-01;1.0954651
0.17911759E-01;1.1013649
0.18796019E-01;0.98444491
0.20248183E-01;0.98174984
0.20362358E-01;1.0597116
0.23602707E-01;0.98144188
0.23670143E-01;0.94084567
0.23779409E-01;0.95971719
0.23937417E-01;1.1423858
0.24156026E-01;1.0685992
0.24245285E-01;0.98600732
0.24518928E-01;0.97266331
0.24657696E-01;1.0855994
0.26705601E-01;1.0821113
0.26809715E-01;0.98963132
0.28297713E-01;0.94656529
0.28869820E-01;1.0143131
0.29230563E-01;0.97332595
0.30452084E-01;0.99460400
0.30642409E-01;1.1482717
0.30864717E-01;1.0755754
0.31006935E-01;1.0729676
0.31059495E-01;1.0141403
0.32733977E-01;0.95084109
0.32813767E-01;0.98056794
0.32952309E-01;1.1146304
0.33000668E-01;1.0886401
0.33891291E-01;0.97175450
0.34062649E-01;1.1598859
0.34438785E-01;0.98680659
0.34643505E-01;1.0861540
0.34753821E-01;0.93066098
0.34979127E-01;0.97770630
0.35910904E-01;0.96218693
0.36007966E-01;1.0975539
0.36130885E-01;1.1479882
0.36309765E-01;0.99076794
0.36608929E-01;0.94632786
0.37436346E-01;1.0049378
0.37802924E-01;0.98357251
0.37950363E-01;1.1384368
0.38613541E-01;1.1271536
0.40414755E-01;1.0070550
0.45099285E-01;1.0155550
0.46304192E-01;0.98036499
0.53829114E-01;1.0009490
0.56607298E-01;0.95729799
0.58180194E-01;1.0134504
0.58570693E-01;0.96061272
0.59228422E-01;1.1286137
0.60297127E-01;0.95957509
0.61030763E-01;0.97333932
0.61289489E-01;1.1302905
0.62171987E-01;0.96693876
0.62353931E-01;0.98880465
0.62422992E-01;1.0481449
0.63608303E-01;0.93810539
0.63651623E-01;0.95697156
0.63746400E-01;1.0522782
0.64446114E-01;1.0623028
0.65576964E-01;0.91183259
0.66230153E-01;0.92000910
0.66345708E-01;1.0194644
0.66563745E-01;0.90612397
0.69239960E-01;0.85592172
0.69363507E-01;0.80267007
0.72115093E-01;0.68327448
0.75153670E-01;0.46155424
0.76600453E-01;0.34113390
0.77722089E-01;0.26616979
0.78508319E-01;0.20314834
0.79011821E-01;0.16701394
0.79461711E-01;0.13375140
0.80294924E-01;0.85960276E-01
0.81100504E-01;0.71384816E-01
0.82201158E-01;0.76124286E-01
0.84756319E-01;0.80967966E-01
0.92343672E-01;0.86863520E-01
0.10658851;0.91219989E-01
0.15039782;0.96601372E-01
0.22248446;0.10170726
0.33628577;0.10745937
0.49960660;0.11373449
0.50010000;0.11385052
